ROW_NUMBER,SUBGROUP,AVG_SPENDING,TARGET_SPENDING,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,LABEL
1,2,22.51,34,92,7,109,93,27,71,0
2,1,129.74,162,225,131,41,43,5,57,1
3,2,226.23,339,86,156,15,12,21,109,0
4,2,177.73,267,123,74,31,32,4,31,0
5,3,359.96,720,105,56,169,37,103,136,1
6,3,146.66,293,96,53,18,161,3,171,1
7,1,314.63,393,202,120,64,35,13,172,1
8,3,255.32,511,139,79,36,11,32,102,0
9,2,323.24,485,25,183,190,79,58,71,1
10,3,399.23,798,271,110,30,72,21,102,1
11,1,394.08,493,160,62,44,46,32,158,0
12,2,383.43,575,57,171,17,31,1,122,0
13,2,329.07,494,246,20,29,11,11,185,1
14,2,56.68,85,48,241,101,102,49,65,1
15,1,355.89,445,156,6,118,34,30,158,0
16,3,151.78,304,45,148,23,14,60,109,0
17,3,140.9,282,60,197,54,67,33,91,0
18,2,148.18,222,200,57,166,49,27,107,1
19,2,114.24,171,44,161,76,12,48,58,0
20,1,103.55,129,48,11,92,56,18,70,1
21,2,63.73,96,46,137,129,74,8,108,0
22,1,400.67,501,150,31,3,54,2,159,1
23,2,129.64,194,245,29,123,3,29,177,1
24,1,377.86,472,3,141,73,9,9,60,0
25,1,328.37,410,113,146,37,147,11,152,1
26,1,359.03,449,11,42,8,11,105,222,1
27,3,189.64,379,300,96,24,23,15,251,1
28,3,149.25,299,185,5,59,67,29,54,0
29,1,399.19,499,160,149,57,48,3,85,0
30,3,206.25,413,143,132,152,47,63,69,1
31,1,383.04,479,12,14,74,43,10,39,1
32,2,222.83,334,188,47,53,18,5,88,0
33,2,102.75,154,4,7,69,2,45,65,1
34,3,440.31,881,78,72,99,68,89,96,1
35,1,139.36,174,121,8,127,39,7,200,1
36,3,384.79,770,92,52,1,121,69,167,0
37,1,375.72,470,34,128,52,2,53,233,1
38,2,170.78,256,70,43,312,146,78,164,1
39,3,248.96,498,43,222,77,28,93,143,1
40,3,273.43,547,194,53,92,20,54,400,1
41,2,268.68,403,119,59,6,22,27,62,0
42,2,210.37,316,79,37,14,164,3,309,1
43,1,334.38,418,202,53,98,25,48,76,0
44,2,183.88,276,196,127,42,16,7,218,1
45,3,395.22,790,79,213,14,149,71,80,1
46,1,301.15,376,87,50,20,14,133,198,1
47,3,108.76,218,263,92,21,89,13,128,1
48,2,362.59,544,102,62,9,118,22,293,1
49,2,295.6,443,157,47,47,23,47,78,0
50,1,402.09,503,84,154,122,49,42,51,0
51,1,274.66,343,153,82,19,109,52,87,0
52,2,491.71,738,14,176,50,42,48,69,0
53,3,232.63,465,147,144,47,101,2,165,1
54,3,271.1,542,38,150,43,52,28,88,0
55,1,57.03,71,75,187,189,67,90,101,1
56,2,290.42,436,266,36,37,74,30,163,1
57,1,384.17,480,261,33,86,39,88,99,1
58,3,390.22,780,63,87,4,67,76,102,1
59,2,230.39,346,121,77,36,17,2,42,0
60,1,160.39,200,110,194,48,5,40,105,0
61,1,351.86,440,65,59,18,11,5,34,1
62,3,330.33,661,62,1,113,16,102,105,0
63,2,224.63,337,153,239,62,9,75,171,1
64,1,143.52,179,163,32,22,13,163,213,1
65,2,265.67,399,139,89,41,33,4,93,0
66,3,132,264,90,278,70,90,7,278,1
67,2,330.08,495,35,67,3,87,49,54,1
68,2,201.56,302,41,132,5,99,11,111,0
69,3,216.68,433,168,84,5,68,19,55,0
70,3,201.8,404,16,53,103,46,77,104,1
71,1,410.68,513,153,155,86,18,28,62,0
72,1,218.89,274,107,37,64,112,43,139,0
73,1,230.71,288,233,95,79,11,39,45,1
74,1,237.56,297,157,144,3,90,98,114,1
75,2,241.57,362,78,98,47,20,21,31,1
76,3,346.97,694,311,65,20,4,91,218,1
77,3,494.31,989,265,9,46,33,80,173,1
78,3,292.39,585,24,37,123,78,42,95,0
79,2,118.67,178,174,194,94,8,4,132,1
80,2,419.38,629,217,104,32,23,46,80,1
81,2,324.03,486,115,22,76,41,0,41,0
82,1,434.23,543,36,157,71,16,31,88,0
83,1,185.3,232,264,40,76,62,67,200,1
84,2,38.34,58,240,56,36,34,84,156,1
85,1,373.79,467,173,109,133,52,16,123,1
86,1,123.33,154,33,142,144,37,17,233,1
87,3,398.39,797,244,108,53,34,13,50,1
88,1,299.25,374,18,34,2,10,8,16,1
89,3,103.2,206,194,22,68,0,57,58,0
90,3,275.57,551,170,94,2,25,101,110,0
91,1,108.91,136,75,262,31,1,78,159,1
92,3,290.05,580,47,25,85,46,24,68,1
93,1,305.54,382,95,96,21,40,21,22,0
94,3,224.3,449,191,20,71,42,28,47,0
95,2,431.63,647,278,105,88,33,8,94,1
96,2,51.93,78,125,172,83,58,29,35,0
97,1,97.52,122,191,170,30,62,43,110,1
98,2,44.5,67,195,30,78,74,55,70,0
99,2,213.18,320,261,88,67,3,87,100,1
100,3,432.36,865,147,76,124,4,6,145,0
101,3,58.04,116,180,38,174,18,23,173,1
102,1,213.43,267,68,86,94,56,2,93,0
103,3,250.79,502,200,98,3,4,199,205,1
104,1,82.84,104,319,72,41,73,4,200,1
105,3,318.26,637,15,46,87,2,56,193,0
106,1,329.31,412,165,78,65,32,8,51,0
107,3,207.56,415,41,123,16,56,27,136,0
108,3,373.39,747,106,194,55,54,11,82,0
109,3,168.32,337,113,59,52,23,0,48,0
110,3,254.46,509,331,183,6,28,55,106,1
111,2,221.23,332,342,176,127,7,57,104,1
112,1,198.88,249,77,80,26,0,52,60,1
113,3,154.09,308,57,22,137,43,14,126,0
114,1,114.3,143,195,44,21,27,43,172,1
115,3,292.71,585,233,58,32,41,56,186,1
116,2,481.18,722,180,83,107,137,24,178,1
117,2,238.37,358,168,49,81,71,13,120,0
118,2,218.96,328,61,105,55,9,3,62,0
119,3,419.01,838,110,90,19,76,34,173,0
120,1,33.52,42,214,167,87,48,16,74,1
121,3,220.26,441,113,69,48,26,10,29,0
122,1,104.1,130,121,38,153,127,79,88,1
123,3,403.74,807,97,131,96,104,48,130,1
124,2,149.22,224,299,6,175,88,21,120,1
125,1,385.61,482,36,206,46,103,7,104,1
126,2,75.09,113,46,24,107,35,0,83,0
127,2,375.64,563,89,88,36,34,17,31,1
128,1,91.87,115,55,46,27,70,26,278,1
129,2,259.04,389,3,55,116,23,13,85,0
130,3,372,744,146,60,67,19,47,60,0
131,2,275.87,414,47,270,63,60,71,95,1
132,3,292.09,584,236,105,73,28,47,220,1
133,3,100.03,200,9,41,101,23,30,195,1
134,1,358.11,448,43,28,1,6,46,275,1
135,1,356.55,446,277,121,69,110,61,71,1
136,2,246.61,370,42,169,1,18,80,192,1
137,3,249.17,498,211,216,78,50,9,145,1
138,2,283.9,426,143,30,185,1,42,205,1
139,2,180.37,271,224,75,7,11,138,151,1
140,1,340.26,425,186,37,36,69,30,41,0
141,1,304.59,381,27,93,135,51,28,65,0
142,1,80.57,101,36,210,67,75,34,80,0
143,1,249.48,312,38,57,21,10,21,45,1
144,3,322.71,645,31,72,85,2,6,99,0
145,2,106.86,160,71,102,81,120,54,74,1
146,1,330.12,413,131,98,111,73,8,81,0
147,1,115.74,145,63,9,86,64,100,284,1
148,2,41.09,62,252,27,16,40,121,150,1
149,2,173.97,261,43,98,77,29,53,202,0
150,1,328.35,410,174,200,131,66,49,89,1
151,3,148.79,298,181,160,69,10,67,119,1
152,3,38.02,76,152,122,9,33,41,42,0
153,3,338.86,678,85,115,28,53,18,100,0
154,3,293.13,586,0,219,16,29,3,235,1
155,3,63.78,128,57,103,12,15,3,209,1
156,3,353.46,707,135,48,106,6,0,104,0
157,1,301.56,377,200,187,46,122,34,120,1
158,2,24.72,37,169,22,31,153,60,171,1
159,3,363.38,727,128,40,62,17,16,32,0
160,3,126.31,253,17,205,50,72,34,124,0
161,1,381.5,477,0,67,126,10,2,194,1
162,3,259.81,520,197,105,61,51,8,184,1
163,3,207.2,414,174,243,89,30,66,107,1
164,3,308.44,617,79,36,142,25,34,83,0
165,3,179.27,359,97,122,186,14,53,134,1
166,3,272.81,546,60,40,60,87,7,145,0
167,3,189.77,380,254,196,104,0,64,91,1
168,3,333.61,667,290,61,81,71,45,58,1
169,3,87.92,176,86,188,0,71,70,87,0
170,2,314.14,471,7,155,165,14,83,182,1
171,3,311.66,623,5,115,110,114,69,193,1
172,3,391.82,784,189,35,138,16,79,149,1
173,3,47.08,94,202,188,93,63,40,123,1
174,1,56.7,71,108,88,16,16,11,56,0
175,3,21.41,43,59,205,91,24,86,141,1
176,1,387.26,484,25,99,61,8,32,174,0
177,1,461.96,577,205,38,149,15,40,159,1
178,2,96.21,144,246,59,88,92,0,121,1
179,2,229.63,344,119,143,69,39,23,213,1
180,1,395.46,494,91,149,76,57,65,168,1
181,3,386.17,772,166,112,42,67,45,70,0
182,3,418,836,91,64,91,109,32,115,1
183,2,83.95,126,85,116,51,40,45,62,1
184,2,31.27,47,197,95,105,52,25,28,0
185,3,192.85,386,23,83,51,76,80,86,1
186,3,404.77,810,47,82,35,42,42,47,1
187,1,34.87,44,73,206,73,41,50,370,1
188,1,261.06,326,116,87,27,22,3,40,0
189,2,72.66,109,42,72,55,53,31,42,1
190,1,227.27,284,65,293,122,82,12,135,1
191,3,394.32,789,177,69,78,7,54,117,0
192,2,297.37,446,94,78,107,31,7,185,0
193,2,25.58,38,19,31,128,19,16,186,1
194,1,228.31,285,23,220,58,68,28,105,1
195,3,141.23,282,75,49,0,6,10,155,0
196,3,110.9,222,149,91,11,159,68,128,1
197,3,83.77,168,6,63,75,24,24,103,0
198,1,182.55,228,263,130,54,110,19,133,1
199,1,44.67,56,78,29,161,94,93,151,1
200,2,84.59,127,165,169,89,9,74,100,1
201,1,173.41,217,286,89,19,60,25,127,1
202,3,149.86,300,183,12,14,41,68,81,0
203,1,158.62,198,162,11,161,70,25,73,0
204,2,515.73,774,9,78,222,146,15,136,1
205,1,94.85,119,137,40,52,33,16,17,0
206,1,38.52,48,177,48,5,59,89,124,0
207,3,328.62,657,166,89,37,56,26,232,1
208,2,257.27,386,370,139,59,99,9,240,1
209,3,66.04,132,237,285,43,114,16,118,1
210,1,60.66,76,261,3,201,101,17,126,1
211,2,338.75,508,142,24,16,26,21,66,0
212,2,148.48,223,74,193,53,72,11,99,0
213,1,127.3,159,159,129,88,60,20,46,0
214,2,114.79,172,79,115,22,22,125,139,0
215,2,18.93,28,276,245,141,14,15,122,1
216,2,403.53,605,269,74,13,43,98,109,1
217,3,367.67,735,150,52,77,28,42,153,0
218,3,340.01,680,9,331,147,53,23,146,1
219,1,113.23,142,5,28,59,32,34,34,1
220,2,149.48,224,48,89,136,57,27,145,0
221,1,31.09,39,48,221,29,11,138,159,1
222,2,270.91,406,107,130,2,71,11,181,0
223,1,125.82,157,126,77,16,15,11,50,0
224,1,44.83,56,102,88,23,33,12,37,0
225,3,107.18,214,135,140,25,40,5,157,0
226,2,296.31,444,227,13,49,46,93,178,1
227,1,271.39,339,41,51,75,111,4,220,1
228,3,156.91,314,116,124,59,38,31,31,0
229,1,249.82,312,284,83,74,2,10,153,1
230,2,391.81,588,86,121,120,44,27,104,0
231,2,176.56,265,86,26,167,78,2,143,0
232,2,361.32,542,39,90,113,24,38,95,0
233,3,387.68,775,97,52,274,100,85,101,1
234,3,99.38,199,73,105,36,27,5,49,0
235,1,48.43,61,46,71,44,5,50,79,1
236,3,234.92,470,202,91,61,0,99,153,1
237,3,243.06,486,108,71,0,42,8,66,0
238,1,47.74,60,179,138,14,62,25,84,0
239,2,79.11,119,297,185,4,86,61,76,1
240,3,85.17,170,192,14,187,2,62,149,1
241,1,396.71,496,62,148,192,137,10,160,1
242,3,264.12,528,54,161,56,39,25,64,0
243,1,277.89,347,85,104,130,45,61,77,1
244,3,249.82,500,117,93,140,16,24,112,0
245,2,287.72,432,73,195,51,59,47,77,0
246,2,104.49,157,129,72,44,18,13,19,0
247,2,493.86,741,31,86,6,74,15,83,0
248,3,377.6,755,5,102,0,16,33,139,0
249,3,188.46,377,12,10,179,114,52,135,0
250,1,174.66,218,37,215,26,47,12,165,1
251,2,472.97,709,161,96,110,27,16,92,0
252,2,69.31,104,170,54,63,17,32,63,0
253,3,258.02,516,36,74,73,28,15,69,1
254,1,397.88,497,276,142,71,23,1,93,1
255,3,395.41,791,141,48,205,1,77,237,1
256,3,189.47,379,164,20,107,34,17,57,0
257,2,190.8,286,23,40,53,28,23,25,1
258,2,253.76,381,130,22,39,23,14,67,0
259,2,371.41,557,128,13,117,92,116,140,1
260,1,185.38,232,71,154,60,43,5,66,0
261,2,313.91,471,187,165,22,86,70,76,1
262,1,93.89,117,132,78,125,1,8,158,0
263,3,81.37,163,236,0,4,113,1,148,1
264,1,203.01,254,67,43,124,80,46,142,0
265,3,131.69,263,136,84,67,48,30,34,0
266,3,71.76,144,146,100,101,75,23,57,0
267,2,273.92,411,31,226,122,52,12,59,1
268,1,426.89,534,287,197,103,4,32,86,1
269,3,123.39,247,54,84,169,57,37,205,1
270,1,28.95,36,67,52,29,11,9,24,1
271,2,335.23,503,86,64,124,3,88,137,0
272,3,326.59,653,37,301,8,147,8,312,1
273,1,165.59,207,232,33,52,76,33,76,1
274,3,148.28,297,148,165,85,36,22,46,0
275,2,224.18,336,30,15,67,40,11,29,1
276,3,374.74,749,12,78,48,44,93,124,0
277,2,172.06,258,232,61,19,82,61,151,1
278,1,241.07,301,92,47,19,61,28,48,1
279,1,270.18,338,25,75,152,56,6,188,1
280,3,315.98,632,153,6,92,30,18,100,0
281,1,407.36,509,133,208,99,14,33,119,1
282,2,306.76,460,173,18,61,78,22,150,0
283,3,175.21,350,4,110,5,18,7,151,0
284,2,248.11,372,53,199,35,11,87,117,0
285,1,115.68,145,158,92,29,48,8,64,0
286,3,418.88,838,22,99,223,130,32,100,1
287,3,303.88,608,139,17,5,52,41,41,0
288,2,169.64,254,84,196,104,28,13,77,0
289,2,198.56,298,214,96,54,13,2,123,1
