ROW_NUMBER,SUBGROUP,AVG_SPENDING,TARGET_SPENDING,AVG_CALL_COUNT,AVG_CALL_DUR,AVG_ACCT_BAL_BEFORE_CALL,AVG_RECHARGE_AMT,AVG_ACCT_BAL_BEFORE_RECHARGE,LABEL
1,2,129.74,195,8.68,23.22,219.24,208.94,60.4,0
2,1,22.51,28,10.83,25.91,258.34,2348.37,37.77,1
3,2,359.96,540,4.89,141.66,160.36,1640.49,30.69,0
4,2,177.73,267,3.15,78.84,73.03,301.42,8.22,0
5,3,226.23,452,21.1,82.68,290.83,2245.73,7.57,1
6,3,394.08,788,6.83,471.9,296.97,1868.8,43.08,1
7,1,151.78,190,16.26,200.52,25.54,2369.45,11.94,1
8,3,255.32,511,2.97,127.99,51.84,283.96,56.91,0
9,2,323.24,485,28.38,32.04,296.54,1382.15,45.28,1
10,3,399.23,798,9.06,18.49,311.73,2027.96,57.94,1
11,1,146.66,183,20,42.73,118.7,2514.72,9.28,0
12,2,383.43,575,9.29,39.2,41.18,914.64,63.78,0
13,2,329.07,494,14.48,13.51,333.08,1877.28,50.25,1
14,2,140.9,211,8.57,30.95,340.62,1255.3,25.29,1
15,1,355.89,445,19.9,58.34,150.33,1747.14,35.63,0
16,3,314.63,629,17.71,147.34,51.48,2503.91,0.77,0
17,3,56.68,113,19.59,231.17,224.25,996.3,50.11,0
18,2,114.24,171,13.56,167.49,185.78,2946.64,67.21,1
19,2,148.18,222,15.54,100.68,211.83,2957.09,4.92,0
20,1,103.55,129,9.45,177.27,129.91,522.38,21.16,1
21,2,63.73,96,17.07,94.21,140.32,1472.51,6.49,0
22,1,377.86,472,38.76,109.32,18.44,1931.72,21.09,1
23,2,129.64,194,6.67,237.05,159.94,834.26,67.28,1
24,1,400.67,501,12.27,24.48,85.04,2079.57,66.87,0
25,1,399.19,499,7.66,97.58,128.74,3459.3,39.32,1
26,1,359.03,449,25.34,340.06,57.79,1739.49,40.21,1
27,3,189.64,379,3.12,35.05,278.73,649.83,52.99,1
28,3,149.25,299,11.63,15.22,124.9,2723.01,2.36,0
29,1,328.37,410,13.22,94.37,118.33,1100.15,33.33,0
30,3,222.83,446,28.42,133.94,291.03,167.15,42.12,1
31,1,384.79,481,8.3,157.52,270.89,1831.16,17.06,1
32,2,206.25,309,17.19,57.39,238.11,1860.61,51.17,0
33,2,102.75,154,12.99,186.83,346.04,3017.34,6.27,1
